281,46:03.933N,15:10.967E,193M,T,RADECE,
282,45:44.600N,14:43.817E,488M,T,RIBNICA,
283,45:42.317N,13:51.733E,360M,T,SEZANA,
284,46:30.533N,15:04.933E,411M,T,SLOVENJGRADEC,
285,46:23.533N,15:34.333E,270M,T,SLOVENSKABISTRIC,
286,46:20.350N,15:25.367E,321M,T,SLOVENSKEKONJICE,
287,46:10.133N,14:18.233E,347M,T,SKOFJALOKA,
288,46:08.800N,15:02.950E,296M,T,TRBOVLJE,
289,45:54.517N,15:00.733E,283M,T,TREBNJE,
290,46:21.767N,15:06.500E,386M,T,VELENJE,
291,46:36.733N,13:50.817E,488M,T,VILLACH,
292,45:57.983N,14:17.967E,283M,T,VRHNIKA,
