247,50:59.095N,0:57.487W,86M,T,Petersfield Sout,
248,51:00.496N,0:57.190W,71M,T,Petersfield West,
249,51:20.558N,1:46.215W,117M,T,Pewsey,
250,52:19.452N,0:51.374W,90M,T,Pitsford,
251,51:55.591N,2:51.495W,65M,T,Pontrilas,
252,51:40.903N,2:58.750W,100M,T,Pontypool,
253,51:12.063N,1:11.459W,154M,T,Popham,
254,52:07.810N,0:14.514W,56M,T,Potton,
255,52:16.518N,3:00.112W,147M,T,Presteigne,
256,51:43.203N,0:50.676W,101M,T,Prince's Risboro,
257,51:16.747N,2:24.600W,181M,T,Radstock,
258,51:46.025N,2:50.070W,57M,T,Raglan,
259,51:26.514N,1:36.067W,113M,T,Ramsbury,
260,52:26.906N,0:06.356W,7M,T,Ramsey,
261,51:26.337N,1:03.939W,50M,T,Reading West,
262,51:54.969N,2:36.034W,44M,T,Ross-on-wye,
263,52:03.192N,0:01.586W,59M,T,Royston,
264,52:20.014N,1:17.697W,120M,T,Rugby,
265,52:24.224N,1:10.592W,120M,T,Rugby Northeast,
266,52:19.458N,0:35.905W,37M,T,Rushden,
267,52:39.363N,0:36.299W,83M,T,Rutland Water,
268,52:15.867N,0:29.090W,78M,T,Sackville,
269,51:03.885N,1:47.839W,49M,T,Salisbury Cathed,
270,51:02.348N,1:45.364W,41M,T,Salisbury South,
271,50:58.409N,1:02.425W,227M,T,Salt Hill Mast,
272,52:09.092N,2:55.227W,121M,T,Sarnesfield,
273,52:49.666N,2:12.553W,97M,T,Seighford Hangar,
274,52:49.365N,2:11.697W,96M,T,Seighford Runway,
275,51:36.204N,2:37.371W,33M,T,Severn Bridge N,
276,51:00.120N,2:11.079W,201M,T,Shaftesbury,
277,51:11.261N,2:32.166W,150M,T,Shepton Mallett,
278,52:05.831N,1:37.742W,66M,T,Shipston-on-stou,
279,52:31.177N,2:38.993W,160M,T,Shipton,
280,51:51.696N,1:35.619W,97M,T,Shipton under Wy,
281,52:14.524N,2:52.466W,91M,T,Shobdon,
282,52:42.626N,2:44.882W,58M,T,Shrewsbury,
283,52:42.986N,2:47.624W,93M,T,Shrewsbury NW,
284,51:36.934N,1:38.195W,101M,T,Shrivenham N,
285,52:04.376N,1:00.496W,152M,T,Silverstone,
286,52:37.155N,0:55.336W,215M,T,Skeffington,
287,52:14.136N,1:42.645W,114M,T,Snitterfield,
288,52:13.374N,1:44.126W,90M,T,Snitterfield SW,
289,52:14.851N,1:23.456W,86M,T,Southam,
290,52:47.187N,0:09.561W,6M,T,Spalding,
291,52:12.575N,0:15.704W,23M,T,St Neots,
292,52:49.585N,2:08.751W,83M,T,Stafford,
293,51:06.884N,1:29.876W,36M,T,Stockbridge,
294,51:38.822N,0:53.433W,218M,T,Stokenchurch Sou,
295,51:39.914N,0:55.480W,245M,T,Stokenchurch Tow,
296,52:54.493N,2:09.311W,101M,T,Stone,
297,52:03.982N,0:52.172W,76M,T,Stony Stratford,
298,52:20.216N,2:17.011W,20M,T,Stourport,
299,51:55.754N,1:43.479W,234M,T,Stow-on-the-wold,
300,52:11.481N,1:42.004W,37M,T,Stratford,
301,52:13.215N,1:45.699W,73M,T,Stratford NW,
302,52:10.548N,1:47.380W,33M,T,Stratford West,
303,51:34.673N,1:44.100W,104M,T,Swindon East,
304,51:36.535N,1:47.269W,146M,T,Swindon N,
305,51:31.596N,1:43.513W,125M,T,Swindon South,
306,52:16.716N,0:46.967W,80M,T,Sywell Lake,
307,52:41.441N,2:32.594W,112M,T,Telford,
308,52:41.717N,2:19.200W,101M,T,Telford East,
309,52:45.550N,2:32.947W,58M,T,Telford NW,
310,52:36.941N,2:26.530W,50M,T,Telford South,
311,52:38.183N,2:31.552W,48M,T,Telford SW,
312,52:18.836N,2:35.696W,55M,T,Tenbury Wells,
313,51:38.336N,2:09.708W,117M,T,Tetbury,
314,52:02.868N,2:08.117W,34M,T,Tewkesbury North,
315,51:46.542N,0:57.009W,81M,T,Thame Airfield,
316,51:45.054N,0:58.860W,66M,T,Thame Church,
317,51:38.253N,2:27.126W,27M,T,Thornbury Northe,
318,52:23.476N,0:31.431W,63M,T,Thrapston,
319,51:03.537N,2:04.886W,92M,T,Tisbury,
320,51:56.853N,0:30.142W,97M,T,Toddington,
321,52:08.378N,0:59.811W,99M,T,Towcester,
322,51:19.147N,2:12.809W,39M,T,Trowbridge,
323,51:34.670N,1:33.987W,221M,T,Uffington White ,
324,52:53.782N,1:51.587W,80M,T,Uttoxeter,
325,52:20.912N,2:53.702W,122M,T,Walford,
326,51:35.852N,1:25.374W,87M,T,Wantage,
327,51:36.766N,1:29.305W,79M,T,Wantage Northwes,
328,52:18.537N,1:07.432W,112M,T,Watford Gap,
329,51:38.598N,1:00.384W,107M,T,Watlington,
330,51:27.341N,1:24.782W,104M,T,Welford,
331,51:12.616N,2:38.590W,52M,T,Wells,
332,51:16.327N,2:11.652W,61M,T,Westbury,
333,51:16.406N,2:09.545W,62M,T,Westbury Chimney,
334,51:51.424N,0:58.699W,73M,T,Westcott,
335,51:14.290N,1:20.754W,107M,T,Whitchurch Hants,
336,51:04.768N,1:56.023W,81M,T,Wilton West,
337,51:03.943N,2:24.846W,111M,T,Wincanton,
338,51:57.947N,1:57.316W,78M,T,Winchcombe,
339,51:53.685N,0:43.336W,123M,T,Wing,
340,51:56.908N,0:53.162W,112M,T,Winslow,
341,52:40.034N,0:09.571E,4M,T,Wisbech,
342,52:36.630N,0:28.623W,79M,T,Wittering Tower,
343,52:01.589N,0:36.237W,82M,T,Woburn,
344,51:59.002N,0:35.977W,131M,T,Woburn Abbey,
345,52:12.759N,2:09.508W,43M,T,Worcester,
346,52:11.775N,2:13.999W,13M,T,Worcester Raceco,
347,51:08.298N,1:59.997W,81M,T,Wylye,
348,51:30.106N,2:21.020W,188M,T,Yate,
349,51:27.553N,1:12.231W,107M,T,Yattenden,
350,51:00.639N,2:38.467W,17M,T,Yeovilton,
351,52:11.975N,0:11.654W,28M,T,Abbotsley,
352,51:41.433N,1:18.992W,72M,T,Abingdon (EGUD),
353,51:12.600N,1:31.772W,75M,T,Andover (EGWA),
354,51:25.228N,0:39.557W,66M,T,Ascot Racecourse,
355,51:46.566N,0:56.355W,85M,T,Aylesbury / Tham,
356,52:08.624N,0:24.413W,23M,T,Bedford / Castle,
357,51:37.046N,1:05.713W,57M,T,Benson (EGUB) [R,
358,52:27.234N,1:44.892W,95M,T,Birmingham (EGBB,
359,51:19.572N,0:50.551W,94M,T,Blackbushe (EGLK,
360,51:09.541N,1:44.194W,112M,T,Boscombe Down (E,
361,51:36.634N,0:48.488W,154M,T,Booker / Wycombe,
362,52:12.999N,0:02.387W,73M,T,Bourn (EGSN),
363,51:22.937N,2:43.142W,183M,T,Bristol (EGGD),
364,51:45.013N,1:34.802W,83M,T,Brize Norton (EG,
365,52:29.480N,1:07.898W,142M,T,Bruntingthorpe,
366,52:12.313N,0:10.522E,14M,T,Cambridge (EGSC),
367,50:57.298N,0:03.454W,31M,T,Chailey ALG,
368,51:40.563N,1:04.854W,68M,T,Chalgrove / Mart,
369,51:35.956N,2:04.704W,91M,T,Charlton Park,
370,51:55.172N,2:03.545W,56M,T,Cheltenham Racec,
371,51:08.431N,1:26.487W,84M,T,Chilbolton,
372,51:33.110N,1:06.016W,62M,T,Chiltern Park,
373,51:03.596N,1:00.692W,186M,T,Colemore Common,
374,52:28.082N,0:15.023W,8M,T,Conington / Glat,
375,52:38.428N,2:18.325W,82M,T,Cosford (EGWC) [,
376,52:44.172N,0:38.897W,131M,T,Cottesmore [RAF],
377,52:22.179N,1:28.798W,82M,T,Coventry (EGBE),
