360,45:46.350N,122:51.742W,8M,T,Scappoose,
361,46:00.990N,123:54.325W,7M,T,Seaside Muni,
362,45:00.000N,120:43.800W,1010M,T,Shaniko,
363,45:06.157N,123:25.156W,180M,T,Sheridan,
364,43:06.658N,121:05.650W,1365M,T,Silver Lake,
365,45:45.000N,119:56.100W,164M,T,Simtag,
366,44:18.274N,121:32.353W,968M,T,Sisters Eagle,
367,45:34.957N,123:03.173W,52M,T,Skyport,
368,45:11.673N,120:13.012W,814M,T,Snyder,
369,45:17.740N,122:57.323W,62M,T,Sportsman,
370,45:25.707N,122:56.529W,46M,T,Stark's Twin Oak,
371,43:52.580N,121:27.183W,1325M,T,Sunriver,
372,45:35.290N,123:00.340W,53M,T,Sunset,
373,44:24.000N,122:41.000W,217M,T,Sweet Home,
374,45:25.123N,123:48.824W,5M,T,Tillamook,
375,43:13.407N,122:25.252W,966M,T,Toketee,
376,44:36.057N,123:56.374W,3M,T,Toledo,
377,45:36.300N,119:54.500W,268M,T,Two Rwy,
378,45:18.491N,122:19.122W,173M,T,Valley View,
379,45:51.090N,123:14.490W,260M,T,Vernonia,
380,44:45.633N,119:06.395W,1086M,T,Volny,
381,45:09.000N,121:13.000W,581M,T,Wapinitia,
382,45:35.367N,120:40.450W,415M,T,Wasco,
383,44:13.000N,120:31.000W,1332M,T,Wilson,
384,45:40.707N,123:11.173W,125M,T,Apple Valley,
385,45:48.157N,123:16.807W,246M,T,Bero,
386,44:09.200N,123:03.883W,114M,T,Briggs,
387,45:06.190N,123:25.490W,114M,T,Bushnell,
388,45:37.990N,123:10.073W,156M,T,Chadwick,
389,44:03.824N,123:23.489W,203M,T,Crow-Mag,
390,44:47.674N,123:05.856W,46M,T,Davidson,
391,44:35.850N,123:13.983W,72M,T,Dunning Vineyard,
392,44:48.024N,123:09.373W,51M,T,Fitts,
393,43:12.457N,123:31.955W,294M,T,Flournoy Valley,
394,44:45.324N,123:02.822W,63M,T,Gilmour Ag Air,
395,44:31.783N,123:05.483W,76M,T,Grells,
396,45:27.907N,123:04.773W,138M,T,Hayden Mountain,
397,43:19.325N,123:10.599W,470M,T,Hilltop,
398,45:58.290N,123:21.024W,210M,T,Holce & Oblack,
399,44:34.191N,123:10.239W,69M,T,Holiday,
400,43:23.607N,123:17.121W,216M,T,Holiday Sky Ranc,
401,44:22.957N,123:12.789W,82M,T,Jim's,
402,44:37.624N,123:13.473W,106M,T,Joyner,
403,46:09.683N,123:38.417W,28M,T,Karpens,
404,44:43.824N,123:04.556W,57M,T,Lambert,
405,43:09.557N,123:30.105W,191M,T,Lookingglass,
406,45:11.940N,123:22.206W,269M,T,Mach-O Acres,
407,44:51.240N,123:15.823W,85M,T,Marr,
408,45:36.990N,123:02.740W,66M,T,Mountaindale,
409,44:26.157N,123:18.506W,76M,T,Muddy Creek,
410,44:15.024N,123:13.689W,91M,T,Munson,
411,43:14.240N,123:29.583W,192M,T,Napier Ranch,
412,45:36.240N,123:01.490W,54M,T,North Plains,
413,45:33.590N,123:01.173W,58M,T,Olinger Strip,
414,44:01.459N,118:50.913W,1575M,T,Ponderosa Ranch,
415,45:09.424N,123:23.490W,101M,T,Poverty Hollow,
416,45:36.617N,123:04.800W,56M,T,Rieben,
417,45:03.717N,123:29.167W,95M,T,Roscoes,
418,44:26.617N,123:14.300W,76M,T,Schrock,
419,44:43.824N,123:54.907W,59M,T,Siletz,
420,45:47.357N,123:13.924W,288M,T,Stevens Mountain,
421,44:11.300N,123:11.367W,100M,T,Strauch,
422,45:30.574N,122:58.273W,59M,T,Teufel's,
423,43:20.400N,123:27.067W,106M,T,Umpqua River Far,
424,44:28.407N,123:18.156W,73M,T,Venell,
425,45:02.990N,123:14.073W,56M,T,Vineyard,
426,44:50.907N,123:02.489W,134M,T,Wagoner,
427,45:09.203N,123:14.235W,44M,T,Watts Landing,
